Year,Trifd,Frs_id,Facility,Street_address,City,County,State,Zip,Latitude,Longitude,Company_name,Federal_facility,Industry_sector,Chemical,Carcinogen
2021,27242PRDNCHWY21,110009716281.0,PERDUE FARMS INC EAGLE SPRINGS FEEDMILL,HIGHWAY 211 EAST - 351 PERDUE WAY,CANDOR,MOORE,NC,27229,35.300916,-79.703216,PERDUE FARMS INC,NO,Food,Copper compounds,NO
2021,2729WMRCHM7279L,110055577503.0,AMERICHEM INC LNC,7279 LIBERTY PARK AVE,LIBERTY,RANDOLPH,NC,27298,35.82201,-79.5589,AMERICHEM INC,NO,Chemicals,Copper compounds,NO
2021,27242PRDNCHWY21,110009716281.0,PERDUE FARMS INC EAGLE SPRINGS FEEDMILL,HIGHWAY 211 EAST - 351 PERDUE WAY,CANDOR,MOORE,NC,27229,35.300916,-79.703216,PERDUE FARMS INC,NO,Food,Zinc compounds,NO
2021,2729WMRCHM7279L,110055577503.0,AMERICHEM INC LNC,7279 LIBERTY PARK AVE,LIBERTY,RANDOLPH,NC,27298,35.82201,-79.5589,AMERICHEM INC,NO,Chemicals,Zinc compounds,NO
2021,28560WYRHSSTREE,110000350478.0,INTERNATIONAL PAPER- NEW BERN MILL,1785 WEYERHAEUSER RD,VANCEBORO,CRAVEN,NC,28586,35.212247,-77.114823,INTERNATIONAL PAPER CO,NO,Paper,Chlorine dioxide,NO
2021,28214STLFB8623O,110000349454.0,STEELFAB INC,8623 OLD DOWD RD,CHARLOTTE,MECKLENBURG,NC,28214,35.22948,-80.9771,STEELFAB INC,NO,Fabricated Metals,Copper,NO
2021,27107CRNPR4501O,110000861032.0,INGREDION INC - WINSTON SALEM PLANT,4501 OVERDALE RD,WINSTON SALEM,FORSYTH,NC,27107,36.032491,-80.228696,INGREDION INC,NO,Food,Lead compounds,NO
2021,28214STLFB8623O,110000349454.0,STEELFAB INC,8623 OLD DOWD RD,CHARLOTTE,MECKLENBURG,NC,28214,35.22948,-80.9771,STEELFAB INC,NO,Fabricated Metals,Manganese,NO
2021,28601STRCT1115L,110025331344.0,STRUCTURAL STEEL OF CAROLINA,1115 OLD LENIOR RD NW,HICKORY,CATAWBA,NC,28601,35.746608,-81.362464,STRUCTURAL STEEL OF CAROLINA,NO,Fabricated Metals,Nickel,YES
2021,28601STRCT1115L,110025331344.0,STRUCTURAL STEEL OF CAROLINA,1115 OLD LENIOR RD NW,HICKORY,CATAWBA,NC,28601,35.746608,-81.362464,STRUCTURAL STEEL OF CAROLINA,NO,Fabricated Metals,Chromium,NO
2021,2756WBGNRT9DAVI,110070244568.0,BIOGEN RTP,900 DAVIS DR,MORRISVILLE,DURHAM,NC,27560,35.86754,-78.87033,BIOGEN INC,NO,Chemicals,Acetonitrile,NO
2021,2756WBGNRT9DAVI,110070244568.0,BIOGEN RTP,900 DAVIS DR,MORRISVILLE,DURHAM,NC,27560,35.86754,-78.87033,BIOGEN INC,NO,Chemicals,Toluene,NO
2021,28906SXTLS250SN,110015324282.0,SNAP-ON POWER TOOLS INC.,250 SNAP-ON DR,MURPHY,CHEROKEE,NC,28906,35.113882,-84.004244,SNAP-ON INC,NO,Machinery,Lead,YES
2021,2810WNTRTP138BI,110070244584.0,INTERTAPE POLYMER GROUP,13800 BILL MCGEE RD,MIDLAND,CABARRUS,NC,28107,35.22763,-80.51585,INTERTAPE POLYMER GROUP,NO,Paper,Acrylamide,YES
